,Address,Business_Summary,Country_of_Incorporation,Established_In,Latest_Update,Name,Number_of_Employees,Ownership_Type,Primary_Sector,contacts
6149, Riyadh Bank Building Choubra Street 2nd Floor 3610 Saudi Arabia Taif 21944 ,"Provides real estate property investment, development and management. Through its main subsidiaries; it provides civil contracting for buildings and infrastructure projects.",Saudi Arabia,1999," Also known as: TAIFSAMA, TITC, Taif Company Last updated on: 31 October 2018 ",Taif Investments and Tourism Company ,325,Private,Real Estate,"Tel: +966 12-738-4074,Tel: +966 12-734-7766,Tel: +966 12-734-7755,Fax: +966 12-738-2015,Fax: +966 12-734-7755,Email: info@taifco.com.sa,www.taifsama.com.sa,"
6150, Shairco for Trading Industry & Contracting Building Arafat Street Al Hamra District 9301 Saudi Arabia Jeddah 21413 ,"Manufacture of glass reinforced plastic and fiber reinforced plastic; real estate property investment and development; distribution of passenger cars, heaters, solar lighting, alarm systems and polycarbonate products; provides architectural services; manufacture of aluminum and steel structures and skylights. Through its main subsidiaries; it provides recycling of tyres, plastics, aluminum, metals, electronic and construction wastes; manufacture of lighting walls, compatible toners, thermal bond products and nonwoven fabric; refining and production of gold and silver bars; manufacture of polyethylene pipes, tubes and fittings; provides asset management services including fund management; direct investments in the education sector; distribution of yachts.",Saudi Arabia,1979, Last updated on: 07 December 2018 ,AlShair Group ,300,Private,Industrial Manufacturing,"Tel: +966 12-663-7666,Fax: +966 12-665-9424,Email: info@alshair.com.sa,www.alshair.com.sa,"
6151, Middle East Technical Solution Establishments Building Al Nahar Street Sulai Area 4323 Saudi Arabia Riyadh 11491 ,Provides civil contracting for heavy projects.,Saudi Arabia,2003, Also known as: METS Last updated on: 31 August 2018 ,Middle East Technical Solutions Establishments ,150,Foreign,Construction,"Tel: +966 11-242-4923,Fax: +966 11-242-4924,Email: mets@mets.com.sa,www.mets.com.sa,"
6152," Bahri Trading Establishment Building 52 South Street 52 2nd Floor ,Office 2 North Obhor Area 5708 Saudi Arabia Jeddah 21432 ",Real estate property management.,Saudi Arabia,1998, Last updated on: 14 May 2018 ,Bahri Trading Establishment ,5,Private,Real Estate,"Tel: +966 12-642-1404,Fax: +966 12-644-7633,"
6153," Business Gate Office Complex, Building 5 Airport Road 22616 Saudi Arabia Riyadh 11416 ","Ownership and operation of fossil fuel power generation and water desalination plants. Through its main subsidiaries; operation, management and maintenance of power generation plants.",Saudi Arabia,2008, Last updated on: 03 December 2018 ,ACWA Power ,,Private,Power and Utilities,"Tel: +966 11-283-5555,Fax: +966 11-283-5500,Email: info@acwapower.com,www.acwapower.com,"
6154," Business Gate Office Complex, Building 5 Airport Road 22616 Saudi Arabia Riyadh 11416 ","Ownership and operation of fossil fuel power generation and water desalination plants. Through its main subsidiaries; operation, management and maintenance of power generation plants.",Saudi Arabia,2008, Last updated on: 03 December 2018 ,ACWA Power ,,Private,Power and Utilities,"Tel: +966 11-283-5555,Fax: +966 11-283-5500,Email: info@acwapower.com,www.acwapower.com,"
6155," Precast Manufacturing Company Limited Building Al Madina Road East Makkah Area, Al-Hamadanieh District 22404 Saudi Arabia Jeddah 21495 ","Manufacture of precast concrete, glass reinforced concrete, artificial stone elements, man holes and prefabricated bathroom pods.",Saudi Arabia,1991, Also known as: PREMCO Last updated on: 09 November 2017 ,Precast Manufacturing Company Limited ,,Private,Industrial Manufacturing,"Tel: +966 12-677-4673,Tel: +966 12-677-4339,Tel: +966 12-677-4047,Fax: +966 12-677-5119,Email: premco@cpcpremco.com,www.sdv.com.sa/projects/cpcPremcoFinal,"
6156, Marble & Granite International Company Building Binladen Industrail Area 41019 Saudi Arabia Jeddah 21521 ,Production of marble tiles and granite products.,Saudi Arabia,1982," Also known as: MGI, MGIC Last updated on: 07 September 2018 ",Marble and Granite International Company Limited ,1800,Private,Industrial Manufacturing,"Tel: +966 12-677-7555,Fax: +966 12-677-7680,Fax: +966 12-677-7683,Email: mgic@mgicksa.com,"
6157, Alwaha Palace Hotel Building Wadi aldawasir Street 6 Al Olaya District 100061 Saudi Arabia Riyadh 11635 ,Ownership and operation of a hotel.,Saudi Arabia,1996, Last updated on: 13 August 2018 ,Alwaha Palace Hotel ,50,Private,Leisure and Tourism,"Tel: +966 11-461-2288,Fax: +966 11-462-9385,Email: info@alwahapalace.com.sa,Email: reservation@alwahapalace.com.sa,www.alwahapalace.com.sa,"
6158, Baud Telecom Company Building Prince Majed Street Al Rabwa District 6045 Saudi Arabia Jeddah 21442 ,"Distribution and installation of telecommunications equipment including switches, routers, voice over Internet Protocol and unified communications; install video, audio and video conferences systems; provides software solution including network management, building management, database management, security and enterprise resource planning solutions; data storage services; provides information technology consulting; provides management, business, telecommunications and information technology training services; develops telecommunication infrastructure. Through its main subsidiaries; distribution of safety and security equipment; provides corporate computer services including networking design, recovery, hardware and software installation.",Saudi Arabia,1975," Also known as: BTC, BTC Networks Last updated on: 20 December 2018 ",Baud Telecom Company ,1400,Private,Telecommunications,"Tel: +966 12-691-8787,Fax: +966 12-691-8525,Email: info@btc.com.sa,www.btc.com.sa,"
6159, Lotus Building 733 Prince Amir Sultan Street Ground Floor Al Zahra Area 4843 Saudi Arabia Jeddah 21412 ,"Provides real estate property management , real estate brokerage and consultancy services; provides engineering consultancy services;",Saudi Arabia,1991, Also known as: PMDC Last updated on: 10 May 2019 ,Project Management & Development Company ,1000,Private,Real Estate,"Tel: +966 12-662-1800,Fax: +966 12-662-0220,Email: info@pmdc-sa.com,www.pmdc-sa.com,"
6160, Lotus Building 733 Prince Amir Sultan Street Ground Floor Al Zahra Area 4843 Saudi Arabia Jeddah 21412 ,"Provides real estate property management , real estate brokerage and consultancy services; provides engineering consultancy services;",Saudi Arabia,1991, Also known as: PMDC Last updated on: 10 May 2019 ,Project Management & Development Company ,1000,Private,Real Estate,"Tel: +966 12-662-1800,Fax: +966 12-662-0220,Email: info@pmdc-sa.com,www.pmdc-sa.com,"
6161, Dr. Soliman Fakeeh Hospital Building Palestine Street Al Hamra District 2537 Saudi Arabia Jeddah 21461 ,Ownership and operation of a general hospital; provides home health care services.,Saudi Arabia,1978, Also known as: DSFH Last updated on: 31 January 2019 ,Dr. Soliman Fakeeh Hospital ,3200,Private,Health Care,"Tel: +966 12-665-5000,Tel: +966 12-660-3000,Fax: +966 12-660-8013,Email: administrator@drfakeehhospital.com,www.dsfh.med.sa,"
6162, Saudi Arabia Jeddah,Provides electromechanical and plumbing contracting; provides engineering consultancy services; provides installation of pipelines.,Saudi Arabia,2012, Also known as: Elmec Last updated on: 07 August 2017 ,Elmec Contracting Company Limited ,-,Private,Construction,
6163, Saudi Arabia Jeddah,Provides electromechanical and plumbing contracting; provides engineering consultancy services; provides installation of pipelines.,Saudi Arabia,2012, Also known as: Elmec Last updated on: 07 August 2017 ,Elmec Contracting Company Limited ,-,Private,Construction,
6164, Saudi Arabia Jeddah,Provides electromechanical and plumbing contracting; provides engineering consultancy services; provides installation of pipelines.,Saudi Arabia,2012, Also known as: Elmec Last updated on: 07 August 2017 ,Elmec Contracting Company Limited ,-,Private,Construction,
6165, National Company for Tourism Building New Abha Street 752 Saudi Arabia Abha 61421 ,"Holding company with activities in ownership and operation of hotels, resorts, cafes and restaurants.",Saudi Arabia,1989, Also known as: SYAHYA Last updated on: 29 March 2019 ,National Company for Tourism ,475,Private,Leisure and Tourism,"Tel: +966 17-229-1470,Tel: +966 17-229-1541,Tel: +966 17-226-0336,Fax: +966 17-226-2503,Fax: +966 17-229-1450,Email: reservation@syahya.com.sa,www.syahya.com.sa,"
6166, Al Nakhlah Tower King Fahad Road 11th Floor 67356 Saudi Arabia Riyadh 13311 ,Provides legal services including Islamic finance.,Saudi Arabia,2007, Last updated on: 14 August 2018 ,Meshal Al Akeel Law Firm in Affiliation with Hourani & Associates ,18,Private,Services,"Tel: +966 11-293-1234,Fax: +966 11-293-0051,Email: info-ksa@houraniassociates.com,"
6167, Al Juffali Building Medina Road 3rd Floor 8583 Saudi Arabia Jeddah 21492 ,Holding company with interests in various sectors.,Saudi Arabia,2004, Also known as: KJC Last updated on: 09 July 2018 ,Khaled Juffali Company Ltd. ,20,Private,Financial Services,"Tel: +966 12-667-2222,Tel: +966 12-667-5621,Fax: +966 12-660-5508,Fax: +966 12-669-4010,Email: kjc@kjuffali.com,www.kjuffali.com/kjco/,"
6168," Kheriji Plaza Medina Road 3rd Floor, Suite 3007 Rawda Area 127232 Saudi Arabia Jeddah Jeddah 21352 ","Provide investments in healthcare companies; private equity investments; distribution of medical supplies; production and distribution of human vaccines, plasma products, bio products for the treatment of oncology disease by diagnosing cancer at molecular level.",Saudi Arabia,2009, Also known as: ReAya Last updated on: 28 February 2014 ,ReAya Holding ,10,Private,Health Care,"Tel: +966 12-667-6777,Tel: +966 12-665-6798,Tel: +966 12-664-5060,Fax: +966 12-663-4884,Email: info@reayaholding.com,www.reayaholding.com,"
6169, Building 101 Sari Street 9th and 10th Floors Al Khalidiya Area 13624 Saudi Arabia Jeddah 21414 ,Provides lease financing services.,Saudi Arabia,1997, Also known as: Ajil Last updated on: 19 November 2018 ,Ajil Financial Services Company ,210,Private,Financial Services,"Tel: +966 12-275-8996,Fax: +966 12-691-2923,Email: info@ajil.com,www.ajil.com,"
6170, Khalidiah Business Center Prince Sultan Street 1st Floor 2259 Saudi Arabia Jeddah 21451 ,Provides insurance brokerage services.,Saudi Arabia,2009," Also known as: Lonsdale, Lonsdale & Associates Last updated on: 07 January 2019 ",Lonsdale & Associates Insurance & Reinsurance Brokers ,35,Foreign,Financial Services,"Tel: +966 12-690-1260,Fax: +966 12-690-1258,Email: info@lonsdalebrokers.com,"
6171," Noura Building Palestine Street 3rd Floor, Office 36 Al Hamra District 14158 Saudi Arabia Jeddah 21424 ",Ownership and operation of clinics.,Saudi Arabia,1983," Also known as: Saba Clinics, Saba Medical Last updated on: 12 February 2018 ",Dr. Samir Bahrawi & Partners for Medical Services ,150,Private,Health Care,"Tel: +966 12-665-5746,Tel: +966 12-661-4779,Tel: +966 12-665-6637,Fax: +966 12-669-5024,Fax: +966 12-665-5814,Email: sabainfo@sabamedical.com,www.sabamedical.com,"
6172, Alkhabeer Capital Building Al Madinah Road 128289 Saudi Arabia Jeddah 21362 ,"Provides investment banking services including corporate finance and investment advisory on mergers and acquisitions, initial public offering and underwriting; asset management services including fund, wealth and portfolio management; private equity investments, all according to Islamic principles.",Saudi Arabia,2004," Also known as: AKC, Alkhabeer Last updated on: 30 October 2018 ",Alkhabeer Capital ,80,Private,Financial Services,"Tel: +966 12-658-8888,Fax: +966 12-658-6663,Email: info@alkhabeer.com,www.alkhabeer.com,"
6173, Lotus Building 733 Prince Sultan Street Mezzanine and Ground Floor Al Zahra Area 4843 Saudi Arabia Jeddah 21412 ,"Provides real estate property investment, development and management services; provides real estate property consultancy services. Through its main subsidiaries; provides ownership and operation of resorts, hotels, commercial complexes and shopping mall.",Saudi Arabia,1991, Last updated on: 08 September 2018 ,Property Management and Development Company ,500,Private,Real Estate,"Tel: +966 12-662-1800,Fax: +966 12-662-0220,Email: admin@pmdc-sa.com,www.pmdc-sa.com,"
6174," Gulf Carton Factory Co Building, Plot 1-54 Al Ahsa Street 30 Al Ahsa 1st Industrial City 24015 Saudi Arabia Al Ahsa 31982 ",Manufacture of carton packages and containers.,Saudi Arabia,1994, Last updated on: 24 July 2018 ,Gulf Carton Factory Co. ,400,Private,Industrial Manufacturing,"Tel: +966 13-534-0500,Tel: +966 13-533-1612,Fax: +966 13-533-1127,Email: info@gulfcarton.net,www.gulfcarton.net,"
6175, Bin Holding Company Building 1 Quraish Street 1st Floor As Salamah District 54161 Saudi Arabia Jeddah 21514 ,Provides real estate brokerage services.,Saudi Arabia,2005, Last updated on: 24 June 2019 ,Bin Holding Company ,20,Private,Real Estate,"Tel: +966 12-692-2888,Fax: +966 12-698-9954,Email: info@binholding.com,"
6176, Elie Commercial Center Building Tahlia Street 1st Floor 5981 Saudi Arabia Jeddah 21432 ,"Distribution of general food products including milk, cheese, corn flakes, ketchup and potato chips; beverages including water, juices and beer; office supplies including pens and pencils; laundry detergents.",Saudi Arabia,1960, Also known as: Arrow Last updated on: 31 August 2018 ,Arrow Food Distribution Co. ,1000,Private,Food and Beverages,"Tel: +966 12-228-8907,Tel: +966 12-228-8902,Fax: +966 12-284-2423,Email: arrow@arrow-food.com,"
6177, Bahra Modern Precast Company Building Al Bahra Area 42057 Saudi Arabia Jeddah 21541 ,"Manufacture of precast concrete, concrete girder and blocks.",Saudi Arabia,2005, Also known as: BPC Last updated on: 17 September 2018 ,Bahra Modern Precast Company ,800,Private,Industrial Manufacturing,"Tel: +966 12-591-1888,Tel: +966 12-591-4444,Fax: +966 12-591-5500,Fax: +966 12-591-3666,Email: bahra1@sbgbic.com,Email: bahra1@cpc-bpc.com,www.sbgbic.com,"
6178, Lotus Building Prince Sultan Street 1st and 2nd Floor Al Zahra District 1830 Saudi Arabia Jeddah 21441 ,"Provides civil contracting for infrastructure and building projects; provides marine contracting including dredging and land reclamation; offshore contracting; provides foundation, piling, diaphragm wall and shoring works; provides engineering consultancy services; provides leasing of machinery and equipment.",Saudi Arabia,1969, Also known as: Huta Hegerfeld Last updated on: 23 July 2018 ,Huta Hegerfeld Saudia Company Limited ,,Private,Construction,"Tel: +966 12-662-3205,Tel: +966 12-682-5413,Fax: +966 12-683-1838,Email: info@hutahegerfeld.com,www.hutahegerfeld.com,"
